CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn_Probability,Actual_Churn,CustomerId
585,France,1,36,7,0.0,2,1,0,94283.09,0.022195263,0,15749540
525,Germany,1,33,4,131023.76,2,0,0,55072.93,0.036501646,0,15807340
557,Spain,0,40,4,0.0,2,0,1,105433.53,0.0077600805,0,15801062
639,Spain,1,34,5,139393.19,2,0,0,33950.08,0.0075620953,0,15572801
640,Spain,0,34,3,77826.8,1,1,1,168544.85,0.0467589,0,15600708
559,Spain,1,34,0,0.0,1,1,0,182988.94,0.07755628,0,15703544
595,Germany,1,30,9,130682.11,2,1,1,57862.88,0.019595297,0,15704081
706,Germany,0,29,6,185544.36,1,1,0,171037.63,0.5095615,0,15801788
505,France,1,49,7,80001.23,1,0,0,135180.11,0.49787074,0,15592222
714,France,0,40,0,0.0,2,1,0,62762.12,0.083899036,0,15584338
699,Germany,0,54,3,111009.32,1,1,1,155905.79,0.6570902,1,15730793
625,France,0,38,7,0.0,1,1,0,164804.02,0.22676723,0,15625819
721,France,1,35,10,0.0,2,1,0,71594.26,0.0037030373,0,15601387
727,Spain,0,31,10,96997.09,2,0,0,76614.04,0.02080296,0,15761525
670,France,1,38,10,89416.99,1,0,0,144275.39,0.0815116,0,15766649
702,Spain,1,30,2,0.0,2,1,1,145537.32,0.0019551003,0,15591179
633,France,0,42,1,0.0,2,1,0,56865.62,0.022737881,0,15734005
491,Spain,0,61,8,0.0,2,0,1,139861.53,0.037005585,0,15687270
617,Germany,0,58,3,119024.75,2,1,0,35199.24,0.8031048,1,15646764
572,Germany,0,35,1,139979.07,1,1,0,185662.84,0.28752846,0,15610930
551,France,1,52,1,0.0,1,0,0,63584.55,0.88773626,1,15656683
471,Spain,1,26,8,0.0,2,1,1,179655.87,0.022734024,0,15790412
466,France,1,26,3,156815.71,1,1,1,137476.09,0.02034744,0,15589437
588,France,1,44,8,154409.74,1,1,0,49324.03,0.07391657,1,15622631
778,France,0,34,7,109564.1,1,0,1,113046.81,0.010487369,0,15768295
729,France,1,34,3,152303.8,1,1,0,12128.69,0.021142775,0,15768006
776,France,0,43,4,0.0,2,0,1,162137.5,0.029317578,0,15619045
664,Spain,1,35,1,115024.5,1,0,1,169665.79,0.015227133,0,15694805
523,France,1,36,8,158351.02,2,1,0,155304.53,0.3632575,0,15665064
733,Germany,1,39,5,91538.51,1,1,1,93783.0,0.07985586,0,15756535
693,France,0,30,6,127992.25,1,1,1,50457.2,0.15923175,0,15750803
614,France,1,46,4,0.0,1,1,0,74379.57,0.63449347,1,15627665
775,France,1,45,8,0.0,1,1,0,130376.68,0.53335637,0,15749472
633,France,1,43,5,0.0,2,1,1,48249.88,0.0052183503,0,15640917
